	1			2			3			4			5			6			7			8			9			10			11			12			13			14			15			16			17			18			19			20			21			22			23			24			25			26			27			28			29		
vulpes_12	278.034	175.4248	38.5772	269.5418	179.6253	38.0652	274.9729	180.2406	87.5864	302.2888	171.6609	48.2676	252.0209	197.0042	47.0907	278.4244	177.1364	41.0341	270.4977	181.4313	40.5538	292.3651	167.9679	29.4225	255.8976	184.0934	30.0159	283.0855	180.332	120.4625	270.0417	186.2331	120.9098	294.0026	185.9818	81.7914	267.5122	198.8215	81.4414	295.6637	174.5295	66.5462	256.3277	192.8665	66.6916	284.8636	200.8972	81.0977	286.6661	168.1043	79.4202	286.5778	170.5361	67.3992	257.937	181.704	78.6836	260.6863	183.3772	66.7493	280.4051	178.3667	117.0503	270.8944	182.6727	118.1937	297.9297	195.6236	62.6256	273.4563	208.571	62.3831	286.308	166.495	22.781	261.3065	178.9358	21.3008	289.8774142	207.9255111	23.78933084	286.0624091	176.0168403	20.48418849	265.610749	183.9309048	18.23849191
vulpes_13	277.8143	175.7137	39.4381	269.8897	180.7261	39.3268	273.4263	180.0069	90.0777	304.6823	166.9465	46.5992	249.1795	200.072	44.3568	278.4601	176.7953	42.0582	270.5677	181.5953	42.699	291.299	166.5191	28.5123	254.8013859	189.7037297	28.02106041	280.9722	177.8388	124.6353	267.2363	186.1804	124.4094	294.3734	184.6403	86.2643	269.6893	200.8428	85.3588	296.2394	169.0876	68.0176	253.8807	194.0042	67.3607	285.9088	200.3204	79.9036	286.3849	165.4055	81.4551	285.1139	168.0466	69.2368	255.3424	183.6476	80.7215	259.1851	183.5381	67.6844	278.5091	176.9688	121.7376	268.0991	183.329	121.8773	300.1032	194.1798	66.9329	274.4671	209.8438	67.0487	285.5553	166.7703	21.734	261.0744	182.1181	20.8882	292.3782187	208.0499391	24.79375364	286.0721392	175.6036881	19.43987374	265.4334925	185.8499346	18.57849089
vulpes_14	278.7368	174.0931	39.7912	269.5342	178.8151	39.9057	276.6511	182.2076	94.2761	305.4558	168.1353	46.8321	247.8407	196.2504	46.2719	279.417	177.0524	44.3955	270.9786	180.7614	44.2075	293.6225	167.6433	29.286	254.1154	183.8471	30.3157	284.7663	183.5602	129.9199	271.1262	190.4372	129.6337	297.2539	188.507	87.5889	269.3763	202.3915	87.1307	298.3169	172.6829	71.1818	255.6141	191.8993	71.6867	288.1862	205.0658	83.2051	288.7974	167.2116	85.315	287.5378	170.5779	72.4569	257.7621	182.6109	85.0384	261.2477	183.029	71.7969	282.189	181.3706	126.7573	271.553	187.3156	128.2469	302.2256	198.5577	68.3453	274.0766	211.9539	67.992	286.9877	165.2616	23.2934	257.9061	178.5529	22.6559	289.7648403	207.0887064	19.50145634	286.0758994	174.7336583	19.13599894	264.5254276	183.5916918	18.83449187
vulpes_15	364.683	-15.4226	36.5548	363.1963	-7.9304	36.3159	367.4975	-7.1634	87.2383	375.7064	-39.4168	47.1216	366.5097	19.8835	42.1741	367.2317	-15.1315	42.1747	366.017	-7.1103	41.9768	368.666	-30.9062	27.6453	358.5012	6.9293	27.8326	371.9972	-11.7443	121.2187	369.2578	3.499	119.4623	382.8163	-20.3576	82.449	378.4781	8.839	80.0408	371.4549	-28.5191	68.163	365.3485	11.6268	64.7096	389.9779	-4.8433	79.4539	364.1494	-24.9711	80.5691	365.4182	-22.7266	68.3054	358.9693	7.1282	77.1052	361.9182	3.9005	65.6042	369.2888	-10.514	118.5392	367.4243	1.3205	117.22	393.6227	-19.9748	62.8467	389.877	8.7867	60.7299	364.787	-27.7612	22.0675	359.459	1.0599	18.468	394.5156226	-7.442939822	20.87771775	369.2623566	-22.87470096	19.56662352	365.256461	-1.626400372	18.03559365
vulpes_16	363.1457	-14.8373	39.0664	363.2159	-6.6547	38.4015	365.6533	-6.821	88.4892	373.0163	-39.769	47.2959	368.0293	20.1913	43.7392	364.9361	-14.4158	41.2881	364.7367	-5.9274	40.8082	363.7326	-30.2731	28.4824	359.2534	7.8951	28.704	370.1956	-11.2191	119.9726	369.9352	2.0164	120.2905	380.5267	-20.999	83.9604	378.3336	8.3666	82.2388	368.17	-28.4413	68.6416	363.9999	12.1528	67.2098	389.1772	-6.1821	79.7398	360.9524	-24.5558	80.9047	362.52	-22.5924	67.9246	358.7203	8.9798	78.4602	360.2315	5.5153	67.2521	367.1826	-10.5313	117.0543	366.7976	0.5373	116.5587	391.5902	-20.9602	64.7578	389.5771	7.477	63.5983	359.8311	-25.4536	23.3426	357.6734	2.724	22.5394	394.9567914	-8.226559025	22.61357971	368.6938037	-21.44885303	19.57414861	367.7017117	1.980206268	18.4861264
vulpes_17	364.0777	-16.7362	38.4806	361.5675	-7.0474	36.3116	368.4916	-9.1346	91.1607	377.5169	-41.0481	47.7194	365.1529	21.8167	45.7838	367.32	-14.9923	43.7918	366.0255	-6.4602	44.244	367.9081	-31.3926	29.0887	356.8257	7.5715	31.2342	374.2769	-13.8189	127.6558	371.2108	-0.7427	126.4545	385.4619	-22.2483	87.1597	380.5153	8.8315	86.5637	372.6142	-30.9266	71.3458	364.8579	12.6474	69.1	392.798	-4.9722	80.7149	363.7978	-27.7588	83.0971	365.1297	-24.9038	71.261	357.5781	5.9104	82.0312	360.0198	3.3553	69.9157	371.4018	-13.9086	123.7613	368.9036	-1.5161	123.8182	396.2046	-23.8729	65.2556	389.2316	13.8313	64.3699	361.4121	-24.5268	21.9133	355.9075	1.6261	20.8562	397.7421676	-5.604611818	21.09021212	368.0991094	-22.62063355	18.61848954	362.7924197	-0.687504228	18.45513498
vulpes_18	366.2259	-16.3831	37.9915	363.5422	-7.7873	37.032	370.5038	-9.0912	86.3433	381.1024	-39.1829	46.1537	362.915	19.6545	43.8496	368.1698	-15.2984	41.7914	366.1744	-7.2078	42.42	368.8744	-30.9278	28.9686	355.968	4.5714	30.6357	379.5286	-11.8353	120.6806	375.3071	0.5675	120.495	387.6134	-19.1406	82.3761	378.9003	8.9334	81.0593	375.9246	-30.7476	67.937	362.8604	10.8731	66.0563	392.6524	-2.5598	75.6949	369.2554	-27.3897	79.714	369.6771	-24.9281	67.3593	359.1188	5.0329	79.1057	361.3244	2.6062	66.2814	376.5483	-11.8677	118.7651	373.401	-1.3398	117.9029	396.221	-15.5022	61.7187	388.8922	9.6715	62.0183	364.1333	-28.2651	23.5027	355.2003	-0.9464	22.4378	393.8822357	-5.148828225	19.12079187	370.4437192	-22.80877102	19.62771776	362.8218331	-1.601927175	18.63809269
vulpes_19	367.2733	-18.2222	39.9498	363.7137	-9.4385	40.2036	367.796	-11.6696	93.1436	383.7598	-38.5522	48.4998	359.9304	16.751	46.7674	369.4162	-16.4505	44.2262	366.669	-8.8636	45.0177	373.4811	-33.5456	30.1422	354.424	4.488	30.7548	371.2271	-15.3758	129.831	365.854	-4.8232	129.2472	385.5716	-24.0758	87.3527	375.0731	6.8233	85.8035	377.4248	-30.9247	71.2482	360.0413	8.1321	71.0325	390.9554	-2.4846	82.6282	367.5127	-29.2806	85.2635	368.9414	-27.5343	71.6693	355.2575	1.4742	84.7008	357.8696	0.4312	70.9355	368.8163	-16.2298	126.3461	364.8242	-5.7969	127.2064	397.1687	-15.1152	66.3489	387.4038	10.4357	66.7314	366.6508	-29.2884	23.7654	355.3668	-3.308	23.2778	395.0957222	-2.167452468	20.94626671	373.9412978	-23.13070212	20.93248347	364.0652308	-2.515022599	19.63574457
vulpes_20	366.2776	-16.5908	38.2101	364.5487	-8.7075	38.7524	369.3631	-11.1333	84.0429	379.1591	-37.6628	45.622	363.6815	15.1769	44.2447	368.4045	-16.1043	41.4088	366.1209	-7.9221	41.4319	370.1453	-31.4013	28.294	357.6988	5.3616	30.2539	374.5131	-15.5602	115.0196	371.4744	-3.4213	114.5092	385.8989	-20.8052	80.3156	378.4788	5.6135	80.2411	374.5904	-30.8635	65.4702	364.7271	8.7777	63.688	389.2419	-5.897	79.2123	366.7999	-28.3092	76.252	368.0591	-26.3275	64.7145	358.5326	2.5236	75.955	361.875	0.582	63.7304	372.197	-15.2124	111.8711	369.4234	-5.5045	111.9792	394.3104	-18.3031	62.6362	386.9727	7.4896	62.3007	364.48	-28.0823	22.5987	356.2539	0.3363	22.7906	397.1776288	-3.99479262	23.68165221	371.3844008	-23.04231541	20.7098902	364.0542847	-1.306625046	20.53127045
vulpes_21	341.8	136.3508	40.0863	335.4779	142.6376	40.3372	339.0103	139.758	90.3875	365.819	122.5259	47.6389	321.8131	164.6922	46.1858	343.0204	137.6947	45.028	336.6714	144.3914	44.7306	352.7094	125.7149	28.5513	323.4337	153.7875	30.2119	345.9923	136.445	124.91	335.9914	146.8286	125.1842	358.6541	138.4896	84.9875	339.9645	159.9217	86.0647	356.5107	126.793	68.9401	327.0347	159.4707	69.0681	357.0861	156.7648	83.9952	345.4073	123.2486	81.6209	346.7413	126.8859	69.4759	322.7668	147.7213	81.9245	326.0999	148.6838	69.2855	342.2133	135.7779	122.412	335.6506	142.9698	122.9009	366.2811	149.0733	67.2757	349.2912	167.2688	68.3142	345.4222	126.2456	22.3454	324.7621	147.516	22.6841	361.716992	162.5660557	23.49369263	349.1947904	134.9556589	20.09014278	332.3772592	149.6049706	20.17718374
vulpes_22	340.2618	136.3473	39.0215	334.5053	144.3786	40.6492	341.0706	140.169	97.1665	363.5378	118.4917	48.4579	323.4546	172.4784	54.2149	342.4793	137.9151	46.6401	336.7758	145.502	46.7051	349.0161	121.6739	33.1578	321.3964	155.5677	36.8629	348.393	134.5818	136.3127	340.4828	145.3012	137.0478	364.1957	136.781	89.5038	342.6963	163.3309	91.3743	357.7426	125.7405	72.6749	327.6657	159.6935	75.1997	361.8854	157.2051	85.3009	347.2875	123.412	86.9813	347.8722	127.5745	75.5923	325.459	150.2223	88.2131	328.2167	150.41	76.3506	345.8293	133.3095	133.341	337.7596	143.5172	132.8577	372.3571	145.4505	67.1	350.6778	171.2802	68.9376	342.3918	127.6777	24.5563	322.0739	149.9962	25.2213	361.930501	162.6036153	22.36920491	348.5793341	135.0574528	20.97437644	332.8089022	153.3815884	22.15353824
